,title,like_count_1h,like_count_2h,like_count_3h,like_count_4h,like_count_5h,like_count_6h,comment_count_1h,comment_count_2h,comment_count_3h,comment_count_4h,comment_count_5h,comment_count_6h,forum_id,forum_stats,like_count_24h,weekday,hour
31818,巨蟹男很介意慢回訊息嗎？,0,0,0,1,2,2,5,5,5,5,6,6,342324,79.0,8,5,15
26460,#台劇 市井豪門第6集討論區,0,1,2,3,4,4,0,27,32,33,34,34,832822,17.1,8,1,11
47304,The Dealer音樂節 快閃拿禮！,6,6,6,7,7,7,3,4,5,5,5,6,994988,40.3,11,0,4
20017,我的宅物被蟲吃了,0,1,3,3,4,6,0,0,2,2,2,2,676371,391.4,8,5,5
10507,該因為前景與履歷而撐著嗎,0,2,3,4,5,5,2,3,7,8,9,9,770696,160.6,7,6,6
37758,#閒聊 製作單位不要再搞紅、黃、藍，三隊。,3,3,4,5,6,9,5,5,5,6,10,12,822393,4.1,93,1,18
24430,#討論 未來規劃跟身邊的同學不太一樣,0,0,0,0,4,6,2,3,4,7,8,8,134598,22.2,19,4,6
38642,#大眾占卜 [八字]十月流月運勢解析,1,1,1,1,1,1,0,0,0,0,1,1,40715,32.9,8,0,17
34077,教大家如何快速走出失戀,0,0,1,1,2,4,0,2,2,3,3,4,817817,391.7,25,3,19
24976,啟稟都督,4,4,7,7,8,8,4,4,4,4,4,4,994988,40.3,11,0,14
39619,更新）家教費被拖欠數月😢,2,6,20,23,24,24,2,2,5,8,8,8,676371,391.4,140,6,14
12435,選課,0,1,2,3,4,4,2,3,4,4,5,5,430940,47.0,5,4,6
16400,#資訊 第九週 ONE FOR ALL,12,24,32,36,39,41,9,9,12,13,13,14,822393,4.1,62,0,2
48315,為什麼你違規，別人不能按你喇叭？,0,1,2,7,8,8,2,5,5,9,11,12,604447,38.0,13,5,8
441,零負評的百萬YT,1,6,17,25,38,52,7,13,36,54,73,89,445193,24.6,347,3,2
47536,#手遊 我以為我操控的是鼴鼠,0,0,1,4,5,5,0,0,0,0,0,1,63088,37.5,15,3,22
38179,這樣的摩羯男有幾分喜歡我？,1,1,1,1,1,1,5,5,5,5,5,5,342324,79.0,7,1,15
30070,有在打日麻的台灣Vtuber,3,3,8,11,13,15,4,7,10,12,13,13,662573,14.5,24,0,1
18073,#懷孕 很羨慕身邊的人懷孕,3,3,3,4,4,5,3,3,3,3,4,17,24568,35.9,46,6,17
33617,✨免費個性內外在分析,8,28,39,46,49,49,8,30,45,54,59,59,342324,79.0,123,3,14
36766,有冇人知食事前對皮膚唔好,0,2,4,4,4,5,0,2,2,3,3,3,353181,3.3,12,6,15
26514,請問這樣是有陽性嗎,0,0,0,1,2,2,0,0,0,0,0,0,497426,359.8,5,2,4
2942,阿萊歪降價嘍,1,7,8,9,10,11,2,2,4,4,7,7,583569,60.6,14,3,4
13550,#請益 民訴用書請益,0,1,1,2,2,2,6,12,16,16,21,21,591920,16.9,11,0,12
22530,#應援活動 #應援 𝐻𝑎𝑝𝑝𝑦 𝐽𝑒𝑜𝑛𝑔ℎ𝑎𝑛 𝐷𝑎𝑦 ʚ ო̤̥ ɞ💜,7,18,28,44,52,58,1,2,2,2,2,2,81013,3.9,91,3,9
43693,今年新生都不太查詢各平台嗎,1,1,2,2,2,2,3,4,4,4,4,4,132579,12.7,13,3,15
30917,給懼怕拔水平智齒的你,0,0,7,7,8,9,3,4,8,20,27,32,676371,391.4,18,4,1
21386,"如果有新生查不到直屬的line
可以再試一次",1,1,3,4,4,4,0,0,3,3,3,3,100619,40.4,5,3,14
13789,#詢問 小隻女求九分直筒牛仔褲,0,1,1,1,1,3,0,0,1,4,4,4,399302,63.9,9,4,9
28778,#分享 155的跑咖穿搭🥐,2,5,21,48,71,88,2,4,5,10,13,14,399302,63.9,273,2,12
32938,我有前科了😢,3,5,10,11,11,13,7,11,15,18,18,18,732778,35.4,23,5,12
28747,#請益 想請問一下 全知讀者視角小說中文版完結了嗎？,0,0,1,1,2,3,2,3,5,5,5,5,3013,31.7,6,6,8
43356,H棟有猴子喔～,2,2,3,3,3,3,3,3,5,5,5,5,509033,16.3,6,6,9
27995,#分享  遊戲實況主,0,1,2,2,2,4,1,5,8,9,11,15,258600,4.1,8,3,8
6028,台中｜巴蕾麵包の推推肉桂捲,3,5,9,11,13,13,0,0,0,0,0,0,160419,81.9,31,0,14
16629,懇求射手男解惑,0,0,0,1,1,1,1,3,3,3,3,3,342324,79.0,6,6,15
19183,#詢問 #問 Winter小卡ㄉ畫質,2,3,3,3,3,3,4,4,4,4,4,4,877081,0.4,7,0,8
26296,不是「所有身材都是美」，那是鬼扯,3,3,3,3,3,3,0,0,0,0,0,0,639074,0.1,8,2,13
15159,最常出現的問題 夜生活,0,0,0,1,1,1,18,25,31,34,35,36,249745,34.1,10,4,15
26025,#閒聊 Q真的太可憐了，我決定去他的餐廳支持他,0,2,2,2,3,3,3,4,4,6,6,6,252258,14.2,16,0,14
47134,劉山東牛肉麵-邰哥、Toyz也愛,3,5,7,9,11,11,0,0,2,3,4,4,160419,81.9,15,4,14
12239,表白被拒如何相處,1,1,1,1,2,2,1,1,1,2,2,2,676371,391.4,6,5,14
43702,#閒聊 宋智孝職業倦怠？,8,24,51,102,176,237,21,27,40,65,94,129,626235,38.4,762,4,6
10294,#遊戲 抱歉了隊友ww,2,3,6,8,16,17,0,0,0,0,0,1,87138,10.1,25,4,8
34979,被笑容迷惑的我真可恥🫠,1,2,4,4,7,8,0,0,3,3,3,3,858320,0.0,15,3,18
22177,簡單分享在日本買車的經驗,0,0,0,1,3,4,0,1,1,1,2,3,290837,7.3,6,6,9
46532,#書單推薦 🍖書單分享 4️⃣,1,1,2,2,2,3,0,0,0,0,0,0,332913,14.0,18,4,16
4576,季後賽外卡13號開打！誰能拔得頭籌？,3,3,3,3,3,3,0,0,0,0,0,0,592179,8.9,5,1,16
17538,抱歉造成困擾,1,1,2,4,6,6,5,10,12,18,25,29,346270,13.5,17,0,5
497,誰是 CP 值小天才 👑 挑戰 1000 元內畫完全妝💄,7,7,11,12,13,13,0,0,0,0,0,0,156928,140.1,17,4,8
3739,紅線不見了（？）,0,5,5,8,10,11,7,15,17,22,24,24,817817,391.7,16,4,12
41203,只要,1,1,1,4,4,4,1,2,2,2,2,3,662573,14.5,8,5,10
9255,泳池驚魂記,0,1,1,2,2,6,3,3,7,8,10,11,509033,16.3,10,5,10
4219,聯大路積水,0,0,0,2,4,5,2,3,5,5,6,7,598165,10.4,8,6,9
48374,111學年度拼舞社社團宣傳,6,7,8,10,12,14,3,3,3,3,3,3,305500,13.4,17,6,9
29669,豪想,3,5,5,5,5,5,0,0,0,0,0,0,750159,1128.3,5,3,8
22664,有猴🐒,3,3,3,4,4,4,0,0,3,3,3,3,249745,34.1,6,3,9
5147,111-1 數位學伴計畫《第二波招募》,2,3,4,4,5,5,0,0,0,2,2,2,208818,39.8,7,0,4
6034,寫真 | 停車場 || 嚴平芠,5,7,9,9,9,9,0,1,3,3,3,3,942505,0.2,20,6,8
45103,英國🇬🇧絕對不可以錯過的衛兵交接💂西敏宮✿*:･ﾟ,2,2,3,4,6,6,0,0,1,1,1,1,14804,42.6,10,0,10
47097,數位學習平台 Moodle App,1,1,1,1,1,4,2,2,2,2,2,6,604447,38.0,21,1,19
37658,#鑑定 請問這是螞蟻嗎？,0,0,0,1,1,1,1,5,5,5,5,5,63642,22.5,7,2,1
40166,我講一句很宅ㄉ話,5,5,5,5,5,5,5,5,5,5,5,5,750159,1128.3,5,6,14
8514,#其他 政大宿舍門口開單囉,1,2,2,2,3,5,2,2,3,4,4,7,17362,25.6,7,4,7
27039,#臨床相關問題 #求問 紙膠貼法,0,0,2,3,4,4,2,3,3,4,4,8,916546,19.7,9,1,9
21214,蔡英文根本就色違韓國瑜,1,3,4,8,9,9,1,5,8,10,11,12,477997,42.3,31,6,6
525,小吳珍奶盲測把廖老大剪掉？,3,9,24,48,81,126,8,10,25,34,45,55,445193,24.6,488,6,3
1557,這次，又失戀了,1,1,1,1,1,1,1,1,1,1,1,1,817817,391.7,5,1,14
5744,#詢問 詢問Jennie上衣,1,3,3,3,5,6,0,0,0,0,0,0,399302,63.9,9,3,7
27229,#討論 突然不想辦婚禮了,0,0,0,0,0,0,3,3,3,3,3,3,327178,22.4,85,5,15
39157,男友因為我脾氣太好而生氣（？）,2,4,4,6,7,8,3,4,4,4,8,9,817817,391.7,24,3,19
32753,#小七 SUAN CAMA海鹽西西里咖啡風味氣泡飲,3,4,5,5,6,6,2,2,3,4,9,9,481192,6.5,12,0,8
18734,結婚前就知道要遠距離還會結嗎？,2,2,2,2,2,2,2,3,8,8,15,16,817817,391.7,8,0,7
19032,還以為是新開的咖啡廳🤣,6,10,14,17,20,22,3,3,4,6,6,6,497426,359.8,30,3,6
11535,好累,4,4,5,5,5,5,2,2,2,2,2,2,676371,391.4,5,4,20
13475,#分享 生日前夕換新美甲囉～,2,2,4,5,6,7,1,1,1,1,1,2,50785,31.2,11,1,8
5542,#請益 秋冬敏感肌體乳的選擇,1,6,10,11,14,16,4,14,18,20,22,23,156928,140.1,19,4,3
49612,拜託電梯禮儀看一下,1,1,1,2,5,5,3,3,5,6,7,8,537024,8.0,9,0,23
32454,寄信說確診不能到現場又出現教授會發現嗎,1,1,5,9,9,13,3,5,10,14,16,18,399368,59.9,22,0,8
27529,粉刺,0,0,2,2,3,3,0,0,0,0,0,0,331474,5.0,6,4,13
44279,中文系所學會漂書展來囉！歡迎大家來把愛書帶回家！,1,1,3,4,5,5,0,0,0,0,0,0,583569,60.6,8,0,0
25118,#分享 2022聖誕限定彩妝盤🎄🎨,6,12,22,29,35,37,2,3,4,4,6,7,156928,140.1,53,5,12
18127,#租屋奇談 【可寵優質套房】高水準房仲評論前房客素質,5,5,6,7,8,8,0,0,1,2,2,2,469044,17.9,33,3,16
38935,#作品 #人像 港風人像練習,3,4,7,10,13,13,0,0,0,0,0,0,124098,15.7,22,0,12
46398,學長好帥,2,4,8,9,9,10,6,13,13,13,13,13,400940,15.7,23,0,13
3178,反服學群組,4,5,5,6,6,6,0,0,1,3,5,7,78211,12.5,11,3,3
27775,大公司穩定但薪水較低vs小公司(穩定?)但薪水較高,0,0,0,1,3,7,0,0,1,4,4,9,852766,28.4,14,6,22
49995,約見面後該怎麼繼續,1,1,1,1,1,2,6,6,6,6,6,6,817817,391.7,11,2,15
44338,日常生活好物分享✨,2,2,3,4,4,4,1,1,2,2,2,2,144487,0.0,13,4,14
4183,#分享 ❤️CANMAKE-Make me Happy好心情香膏❤️,1,3,3,3,3,4,0,0,0,0,0,0,156928,140.1,8,6,7
39624,起風了！新竹女子圖鑑,0,2,3,6,6,6,2,5,6,6,6,6,136098,31.6,38,0,15
2408,#請益 用僕自稱但很帥/很強的角色,4,7,11,15,21,30,0,2,7,11,14,17,3013,31.7,105,1,6
45927,關於我一早起來變成推的經紀人的這檔事。(後篇),3,5,7,7,8,8,1,1,1,1,1,1,133457,1.2,15,0,5
29482,2022.09.05,2,2,2,3,3,4,2,3,3,3,3,3,817817,391.7,6,6,19
3202,那些按摩棒被家人看見的女孩們,0,1,2,2,3,4,0,0,0,0,1,1,24561,93.7,7,5,10
16505,#分享 說到「蛇」會想到的角色是？【動漫排行】,4,7,12,15,17,23,0,3,5,7,8,8,3013,31.7,92,0,4
46555,_(:」∠)_,4,4,4,4,4,4,1,1,1,1,1,1,750159,1128.3,5,4,5
25677,#閒聊 關於Jessica 採訪少女時代,3,5,5,5,7,8,6,7,7,9,10,10,626235,38.4,11,5,6
12360,#請益 增重到一半體脂爆炸……,0,1,1,1,2,3,0,0,0,0,0,0,728866,21.3,11,3,10
13123,#iPhone 現貨！！！,1,1,2,3,5,6,3,5,6,7,8,8,888601,78.9,16,4,2
2119,風大到騎車被吹倒,26,34,58,75,84,95,10,12,17,22,40,43,22465,63.0,129,0,5
49264,怎麼跟外國學生做朋友！,2,5,6,7,9,10,6,9,13,13,14,16,399368,59.9,13,2,11
35617,今天中午拍學士服的學系顏值好高(;´༎ຶД༎ຶ`),0,0,0,0,0,0,3,3,3,3,3,3,208818,39.8,33,3,16
33199,HKUSPACECC可唔可以到Apple門市用教育優惠買iPad,0,0,0,1,1,1,0,0,0,0,1,1,269432,16.3,10,5,19
9433,#分享 第一次入手✨agete-nojess✨,2,2,3,3,3,3,4,4,4,4,4,4,184485,2.0,26,3,15
18690,念期中念到想自殺,3,5,7,9,9,10,11,16,23,26,26,27,174372,56.4,37,3,16
25962,#討論 補人制度討論,2,2,3,4,7,7,3,6,6,6,9,9,822393,4.1,26,1,18
34283,好像在網路上被情感詐騙了,0,0,0,0,0,3,18,22,22,24,25,25,817817,391.7,5,3,14
27447,#分享 微微入秋的穿搭們,2,2,3,5,7,9,1,2,4,5,6,7,399302,63.9,13,1,8
17653,#請益 預計送達日：今天，官網顯示正在處理中 #BTS,1,1,2,2,2,2,1,1,4,4,4,4,888601,78.9,6,2,14
14748,5 個邀約技巧，讓兩人感情更加溫！,3,7,10,16,16,17,0,0,0,0,0,0,817817,391.7,21,1,9
3758,台南近期超夯日式刨冰🍧,1,3,6,7,8,9,0,0,0,0,0,0,160419,81.9,13,1,11
48841,反骨泰國行vlog好像家人啊～～,11,12,17,23,28,42,12,13,15,18,22,25,445193,24.6,180,4,23
17078,"#發問 有一些問題想要請教 
活動戒指及內潛",0,2,4,4,5,5,7,7,18,19,20,20,969675,6.7,6,5,13
39889,獨家》民眾黨士林北投出現2+3議員參選人 票源恐遭稀釋,1,2,3,4,4,5,0,0,0,0,0,0,477997,42.3,9,3,4
44886,台積電 兵役留職停薪,1,1,3,3,3,3,2,2,2,2,2,3,852766,28.4,6,1,13
39653,#分享 #新聞 墨西哥新聞「即將發佈BTS世界盃開幕公演消息」,25,28,31,37,44,49,3,4,4,5,14,14,244777,4.8,63,1,9
48858,實習,5,7,9,9,9,9,1,2,2,5,5,5,318713,18.1,21,1,14
44799,#討論 ☀️律師「尚難謂非無理由」,3,5,11,11,18,21,9,12,24,32,38,40,591920,16.9,33,6,2
8471,OILI，迴避要比探究更為安全,3,3,4,4,4,4,0,0,0,0,0,0,587312,0.6,5,2,9
22011,福特宣布 Fiesta 明年六月停產,0,0,1,2,4,5,0,0,1,1,1,1,346315,29.3,16,3,9
32396,#電影故事 🤖️｜科學少女：電影背後的理性與感性｜🤖️,1,2,2,2,2,2,0,0,0,0,0,0,323345,8.3,5,4,15
16008,꒰ 寵物似顏繪♡︎ ꒱,4,4,5,7,7,8,3,3,4,4,4,4,327956,0.2,15,5,13
17613,#詢問 真的會有人去做這個嗎?,2,2,3,3,4,4,0,0,1,1,2,2,24561,93.7,6,3,2
46867,10/14 （五）19:00 東華機研迎新！,8,10,10,11,13,14,1,3,3,4,6,7,249745,34.1,17,4,12
24035,#食譜 紅絲絨馬卡龍,2,3,5,5,6,6,0,1,2,2,2,2,841328,6.6,10,2,4
12648,#食譜 #聚餐吃什麼？ 職婦偷吃步聚餐料理,3,3,4,5,5,6,1,1,1,1,1,1,841328,6.6,16,1,5
25948,博士班生涯一覽(供參考),9,11,11,12,15,17,2,3,6,6,9,10,951924,0.5,39,4,8
15937,世界若是這麼大，為何我要忘妳無處逃,7,8,8,9,9,10,12,12,12,12,12,12,687605,117.0,15,0,14
40027,工作是比較出來的😢,0,1,2,2,2,3,0,1,1,2,3,3,770696,160.6,13,4,14
21463,怎麼一堆人在隔離？,3,3,3,3,3,3,3,8,22,24,24,24,650776,19.2,5,5,10
37979,#分享 Good NET 穿搭🤙🏻,25,45,62,76,80,80,7,11,13,13,13,13,399302,63.9,253,4,14
42166,#頁遊 萬聖樂一嚇Part1,7,9,12,13,14,14,6,6,6,6,6,6,63088,37.5,14,2,9
18924,女孩版是能盈利的嗎？,2,2,4,5,6,7,0,1,1,1,1,3,24561,93.7,143,1,16
29662,朗基澡前發問,4,5,5,5,5,5,11,11,11,11,11,11,750159,1128.3,5,4,16
23657,呃佢自己係A1 但其實係A0,1,1,4,6,8,13,0,4,7,7,7,7,955936,27.0,30,5,12
34725,做愛會痛該怎麼辦？,0,1,1,4,7,13,4,5,6,8,11,15,817817,391.7,47,3,10
30406,Foodpanda是怎麼了==？,10,17,24,26,27,32,41,50,52,54,57,58,676371,391.4,75,5,10
679,拒絕以後壓力大,1,3,6,15,19,22,3,7,10,11,18,24,817817,391.7,170,1,4
47666,買了監聽耳機,0,0,0,0,0,0,2,2,2,2,2,2,497426,359.8,7,1,14
31208,#討論 麥香創意陳列競賽-蠟筆小新(已結束） 謝謝各位支持,0,0,0,0,0,3,0,0,0,0,0,1,50836,1.0,16,5,19
18119,剛剛經過自九ㄉ同學,0,0,1,1,2,2,0,0,0,0,0,0,31069,64.7,5,4,15
28553,#分享 僞素顏必備睫毛膏！,1,3,3,5,7,9,0,0,2,5,5,10,156928,140.1,22,3,3
22850,#討論 卡達世界盃-諸神黃昏之青春不散場（圖多）,4,4,4,4,4,4,4,4,4,4,5,5,648137,2.3,7,0,10
45150,#分享 #純分享 新版Banila co空氣感持妝蜜粉Prime控油版-不專業開箱,1,2,3,4,4,4,1,1,1,2,2,2,156928,140.1,6,1,9
301,#徵模特 #徵手摸 新莊迴龍 （表單已開）,2,2,2,2,2,3,0,0,0,0,0,2,50785,31.2,5,6,20
2885,🚬🐒,2,2,2,4,4,4,2,2,3,3,3,4,362848,5.7,10,1,7
14955,都是月餅,4,6,12,22,31,41,0,0,0,2,2,3,160419,81.9,123,5,12
2864,#請益 私密處保養&潤滑,2,2,2,2,2,2,0,0,0,0,0,0,24561,93.7,9,2,2
44026,意外發現的50嵐新點法,1,9,33,58,91,138,8,10,17,21,35,42,160419,81.9,592,4,6
38047,相交來自的日本朋友,0,0,1,1,2,2,2,3,4,5,7,8,430940,47.0,5,5,2
18830,沒有自覺的確診者,1,1,1,1,2,2,1,1,1,1,1,1,676371,391.4,18,3,13
37792,#詢問 針織外套,0,0,1,1,2,3,0,0,1,1,1,2,399302,63.9,6,0,4
13375,#分享 ～分享你現在手上的美甲,0,0,1,7,10,13,4,13,26,71,106,120,50785,31.2,44,1,12
14830,#請益 嘉丹妮爾有推薦什麼好物嗎？,1,2,2,2,2,4,2,2,2,2,2,3,156928,140.1,7,0,6
10437,觀光客來嘉義大吃大喝🍴,6,13,24,44,61,72,0,0,0,0,0,0,160419,81.9,180,3,0
38713,單眼失明的感受,1,4,7,11,13,15,0,0,0,0,0,0,676371,391.4,65,3,5
36299,北漂14年的老房仲心得，北漂窮忙族一堆,3,4,4,4,5,5,1,1,2,2,2,3,676371,391.4,60,3,17
33372,#大眾占卜 在面對感情時，我扮演著什麼角色？,5,7,9,12,12,12,2,2,2,2,2,2,40715,32.9,22,5,9
47128,#分享 貓系妝容x Etude 玩轉色彩九色眼彩盤 微烤餅乾,1,2,3,4,6,8,0,0,0,0,0,0,156928,140.1,8,5,11
46772,台大第一 中山第二？,3,3,3,3,3,3,2,4,6,10,11,12,432672,41.5,16,3,13
23610,偶爾偷穿阿姐的衣服 其實也蠻好看ㄉ🤣,1,1,3,4,4,4,1,1,1,2,2,2,399302,63.9,30,2,15
